popularity,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
4.71040199999999,125.0,2015-02-11,1865,5.3,2015,36799983.808007106,524079119.045187
4.648046,130.0,2015-12-11,1545,7.3,2015,25759988.665604897,122678731.54135801
4.566713,131.0,2015-07-23,2349,7.1,2015,137999939.280026,627743451.672881
4.5645489999999995,115.0,2015-06-25,1666,6.3,2015,62559972.4736121,198594430.13845
4.503789,130.0,2015-01-24,3833,7.6,2015,74519967.21121441,371497801.660967
4.062293,128.0,2015-11-06,1559,7.8,2015,18399991.9040035,81278719.39736341
3.968891,132.0,2015-09-09,1849,6.4,2015,56119975.30721079,286356245.923251
3.899557,120.0,2015-03-04,1990,6.6,2015,45079980.164808705,93903685.2423785
3.877764,115.0,2015-05-07,1264,6.8,2015,26679988.260805104,264505582.09754303
3.6482099999999997,141.0,2015-10-15,1638,7.1,2015,36799983.808007106,149601569.335309
3.6445410000000003,103.0,2015-08-05,600,6.2,2015,53359976.5216103,138157089.01088
3.557846,117.0,2015-10-16,1520,8.0,2015,5519997.57120106,32569603.029374603
3.3391349999999997,93.0,2015-11-14,1087,6.6,2015,160999929.16003102,305371920.876354
3.23737,114.0,2015-03-11,814,6.3,2015,45999979.7600089,65836683.5118592
3.227329,111.0,2015-11-04,754,7.3,2015,10119995.5472019,57110024.5915891
3.2027189999999996,147.0,2015-08-13,918,7.7,2015,25759988.665604897,185504110.098191
3.080505,106.0,2015-10-21,879,5.6,2015,82799963.56801601,129164861.16746101
3.0795220000000003,122.0,2015-10-09,1035,6.9,2015,27599987.856005296,31686509.2179359
3.0534209999999997,116.0,2015-08-13,1548,7.0,2015,68999969.64001329,99493456.50287908
3.025852,112.0,2015-04-16,1221,7.3,2015,22999989.8800044,39219376.6634742
3.023253,97.0,2015-09-12,396,5.9,2015,9199995.95200178,13187080.9976843
2.976436,94.0,2015-03-18,1060,6.9,2015,124199945.352024,339361177.121082
2.968254,109.0,2015-07-09,1252,6.2,2015,11039995.1424021,78671281.38463621
2.8851259999999996,118.0,2015-10-08,638,6.6,2015,3679998.38080071,8339346.45068756
2.883233,118.0,2015-11-20,562,7.1,2015,10855995.2233621,37050347.8978469
2.8148020000000002,121.0,2015-09-24,1255,7.1,2015,32199985.8320062,178999419.480255
